review,sentiment
"After a very long time Marathi cinema has come with some good movie.This movie is one of the best Marathi movies ever made. It shows how a old grandfather tries to save his grandsons eye. He tries everything that is possible in his hands to save the child's eye. Doctor and a relative of his tries to help him in his attempt.<br /><br />The acting by the grandfather, the boy and the doctor are simply superb. They have shown true picture of a typical Marathi life. Every bit of action has some meaning in it. I would recommend to watch this movie, as initially I thought this one would be of documentary type but this was above my expectations.<br /><br />This film is really going to touch your hearts.I would expect more Marathi movies to come up with performances like this.",positive
"There are movies that are leaders, and movies that are followers.<br /><br />""Meatballs"" was a leader. And here's one of its followers.<br /><br />""Party Camp"" is about as interchangeable as any of its brethern who plumbed the depths that ""Meatballs"" (the original) had so successfully mined. Of course, that one had Bill Murray. So, what does ""Party Camp"" have?<br /><br />I'm glad you asked that question.<br /><br />Jewel Sheperd has made these flicks her bread and butter, and what a side dish SHE provides! Even as an innocent (wink, wink) girlfriend to a rich twerp (Cribb), she provides that sultry steam she gives to all her parts. And yes, guys, she shows (if you know what I mean and I think you do). My gosh, that smile of hers could melt through titanium.<br /><br />What? Oh yeah, the movie. Nothing special as I said; every cheap joke is aimed for and hit (at about crotch-level). And eternal teen Jayne is good for a laugh or two. But instead of a sense of humor there's just nudity, lame sex jokes, more, nudity, a soft-core dream sequence, a sex symbol nurse simply for (CLOTHED!) leering purposes, even more nudity....<br /><br />Hmmm... Maybe it's a good idea Bill Murray WASN'T in this.<br /><br />Two stars. For Jewel, naturally. Plenty of ""Camp"", but not much of a ""Party"".",negative
"When a group of escaped convicts manage to flee to a remote island,they soon find that their new home is inhabited by a strangely menacing doctor(Richard Johnson of ""Zombi 2"" fame),a mad scientist(Joseph Cotten),his beautiful daughter(Barbara Bach)and a horde of superstitious natives.The tribesmen say that the doctor has created grotesque half-human,half-fish creatures for evil,secretive purposes.And though at first the prisoners do not believe this,as they disappear,one by one,they begin to change their minds.""Screamers"" is a very entertaining mix of ""Mysterious Island"" and ""Humanoids from the Deep"".There is plenty of gore with really cool decapitation scene and throat tearing to boost.The acting is so-so,but the film is fast-paced and entertaining.Give it a look.8 out of 10.",positive
"Volcano is set in Los Angeles where a minor earthquake has just hit, vacationing boss of the O.E.M. (the Offcie of Emergency Management) Mike Roark (Tommy Lee Jones) decides to cut his holiday short & go in, once there he sees that everything is alright but then drives off to the epicentre of the quake where seven underground workers have been killed by a fire or intense heat of some kind. Mike isn't sure what to think so he brings geologist Dr. Amy Barnes (Anne Heche) in to try & explain things, unfortunately a huge underground river of molten lava has been released after the quake & erupts at the La Brea Tar Pits sending the lava pouring out into the city streets engulfing anything & everything it touches in flames. Mike, his men & the emergency services have their work cut out trying to stop the river of lava & save as many lives as possible...<br /><br />Directed by Mick Jackson this was the second big budget disaster flick revolving around the idea of an erupting Volcano during 1997 with Dante's Peak (1997) being released a mere two months or so before Volcano was & while Dante's peak is hardly any sort of masterpiece at least it's slightly better & more plausible than Volcano is. The script here is total nonsense & is not based in reality at all, underground rivers of lava that seem to appear & then disappear just as quick, various character's standing inches from a river of lava yet not being affected by the heat (when that guy is on the train the metal seats around him start melting but he remains perfectly fine, as far as I am aware human skin is not as heat resistant as metal, is it?) & it constantly happens, helicopters flying is clouds of ash (in reality it would be impossible), one simple blockade at the end of a street will stop the flowing lava (what about down the other streets & other directions?), being able to blow a perfect trench in a street & then blowing a huge building up to make a massive dam & when Kelly sees the lava heading towards her car she gets out just like anyone would but then for some reason just stands there & watches two firemen get burned to death & waits for her dad to save her even though by this stage her leg has caught fire, despite all those concrete blocks being placed together to make a barrier in less than twenty minutes the guy's do such a great job not one bit of molten lava manages to seep through & loads more besides like that massive building falling on Tommy Lee & his daughter yet then both being fine afterwards. The character's are awful too although they were not as clichéd as usual with no romance blossoming between Tommy Lee & Anne Heche & minimal city official's who try to shut Tommy Lee & Anne Heche up before the event labelling them scaremongers. There's a few badly written & at times embarrassing moral moments as Los Angeles pulls together, the black guy & that semi racist cop who warm to each other & by the end are wishing each other well & that little kid at the end when he says 'everyone looks the same' is cringe worthy & is surely a ham-fisted attempt & trying to say whatever colour we are we are still human beings & we can all get along in time of a crisis as it brings people together. Having said that I think Volcano is one of those so bad it's good films, it entertains & it moves along at a decent pace but just don't expect anything grounded in reality or any human drama either.<br /><br />I suppose a film like Volcano could be seen as an updating of a 70's disaster film such as The Poseidon Adventure (1972) or Earthquake (1974) but on a huge budget with modern effects work. Speaking of the effects they are alright but none stand out that much & the set-pieces are also surprisingly forgettable, sure there are a few impressive explosions & a few OK river of lava flowing through Los Angeles effects but little else. Generally Volcano just isn't very exciting & while occasionally unintentionally funny & completely ridiculous it doesn't really work in the way the makers intended.<br /><br />With a supposed budget of about $90,000,000 it opened to a little under $15,000,000 at the box-office, it looks alright & there's lots of fire but nothing stands out & Volcano is a pretty forgettable film overall. Filmed in Los Angeles I think most of the places featured here were shot at their real life locations. The cast go through the motions with some terrible dialogue & ridiculous set-pieces to contend with, Tommy Lee Jones deserves better than this.<br /><br />Volcano is a bit of a disaster in both senses, it is a disaster themed film that ended up a bit of disaster itself. Worth it for a few unintentional laughs & the ridiculousness of it all but it's nothing great & I doubt I would ever want to see it again.",negative
"Possible spoilers.<br /><br />Although there was some good acting - particularly Chloe Sevigny, and Radha Mitchell in the comedy half - this simply was not an engaging film. The segues between the comedy part and the tragedy part were awkward or sometimes not obvious. This viewer was initially confused by the fact that the supporting cast differs in the two halves; I thought with the way things were laid out in the opening scene that the people surrounding Melinda would be the same people, just reacting differently (more of a ""He Said, She Said"" premise). However, what we have is two totally different stories and two totally different women, both of whom happen to be played by Radha Mitchell.<br /><br />The two playwrights in the opening scene - the comedian and the tragedian - supposedly take the same premise and go from there, but the two stories are only tenuously related. They do little to support the topic of discussion, which is that almost anything can be looked at as either comedy or tragedy. Nice cast, but a disappointing film.",negative
"This was one of the worst films I have ever seen.<br /><br />I usually praise any film for some aspect of its production, but the intensely irritating behaviour of more than half the characters made it hard for me to appreciate any part of this film.<br /><br />Most common was the inference that the bloke who designed the building was at fault an avalanche collapsing it. Er ok.<br /><br />Also, trying to out ski an avalanche slalom style is not gonna work. Running 10 feet into some trees is not gonna work. Alas it does here. As mentioned before the innate dumbness and sheer stupidity of some characters is ridiculous. In an enclosed space, with limited oxygen a four year old could tell you starting a fire is not a good idea.<br /><br />Anyway, about 5 minutes of the movie redeems itself and acquires some appreciation. However, if you have a modicum of intelligence you too will find most of this film hard to tolerate.<br /><br />It pains me that so many quality stories go unproduced and yet someone will pay for things like this to be made.<br /><br />Oh, did I mention the last five minutes? Well to give you a hook you have to keep watching in order to see the latest in combative avalanche techniques. Absolutely priceless.",negative
"I saw this movie the first time at about twelve o'clock on a Saturday evening. It really is the perfect time for this one. I have never, EVER seen a movie that was actually more predictable and drenched with stereotypes. If you want to see a thrilling action movie, don't watch it because you might lose the will to live halfway through. However, if you want a good laugh, please watch it! I even bought the Chuck Norris 3DVD collection thanks to my enjoyable Saturday night. What especially struck me is that évery scene that would be expensive to make was copy-pasted from a Discovery documentary or an old TV-special on the US Army. Furthermore I was amazed by the fact that they didn't put the slightest effort in making the production look real. Afghanistan is, as far as I can remember, nowhere near any sea and yet with a single click Deke escapes from the terrorists sand-castle with his jet-pack and is taken away by a submarine (probably Discovery). Later on in the movie, Deke throws an Islam terrorist against the wall. In the slow motion scene you can beautifully see the long hairs of the Korean stuntman flap in the air when smashed against the wall. Gotta love it. I recommend you watch it with some friends and a good amount of beer though, only then you'll understand why I've been mad enough to spend 6,99 euro's on the box.",negative
"Something that really does not go down right with Al Gore (and his supporters)'s theory is the whole thing about ""concensus"".<br /><br />If there were such a consensus, why is it that the ""believers"" in the almighty global warming feel the irrepressible need to try and bully anyone who questions them.<br /><br />Why is it that anyone who does not toe the line on global warming is met with smug accusations of being either stupid or on the payroll of the oil companies (apparently being a professional global warming researcher does not mean you're on anyone's payroll in that wondrous world...) Why is there such a need to tell everyone how the whole question is settled, when it is the very nature of science to honestly question assumptions? For some ideas on the answer to those questions, read Prey by the well-know oil-stooge Michael Crichton... oh wait, he is rich and not on the payroll of the oil companies. He just took a huge career risk in not toeing the line of the Greens and other Kyoto worshippers and told the truth as he researched it. By the way did you know that abiding to the Kyoto protocol would result in almost no lowering of temperatures, according to its own backers? Just a few questions that Al Gore made sure to stay away from lest he not get every penny of the environmental lobby in case he decides to run again.<br /><br />So who's a stooge..?",negative
"This movie seemed to have it all going for it with good camera, sound, film, sets, music, costumes ... but drum-roll, Gary Stretch spoke! I don't know if it was his poor acting or simply a bad script, but would say it was both. Considering the casting of him in this role, I found it difficult to root for him even to the very end. I wished he'd have died in battle or one of the sword/knife scuffles.<br /><br />Then, the tinder for the plot to kill the king was because the king didn't have dinner and sex with his Queen? Pretty lame. And to go to the extreme to kill her own son? And to then push up her lover as succeeding King? I see a thread or two here and there of historical bytes, but the manner in which this was all presented was farcical.<br /><br />I don't recognize Gary Stretch from anything else, but he was dreadful. I read another user's comments about audio being dubbed, but don't think his was dubbed ... after all, he speaks English, right? It really was awful. The lines were read right off the coroner's table ... flat-line. It could be he just doesn't have the voice to carry tone fluctuations.<br /><br />Aside from this, I did watch it to the end, so the movie had at least an ""interest."" It could have been more if the script/lines and casting had been given more work. The scenery and filming crew along with very good quality film is what really made this movie above all else. The cast and story were all secondary. I give the film crew a 10.",negative
"Having first watched the movie at 14, I remember being struck by hearing the word 'govno' (sh*t) for the first time ever on the then-still-Soviet TV (I bet it really was *the* first time in history  anyone wants to add this to trivia section?:)... What an open boldness and freedom, I thought! As years passed, I was more and more impressed with the movie and the incredible acting, but my feelings turned to a kind of mixture of enjoyment from a genuine piece of cinematographic art and a bitter realization of a concept diametrically opposite to my 14-y.o. impression: helplessness. There's an air of inevitable catastrophe looming throughout the movie, of primitive degenerate tide (embodied by Sharikov) sweeping the lives of the finest minds advancing humanity in their areas... It's a great metaphor of Russian revolution in general, inspired by intellectuals ashamed of their superiority and hoping to 'upgrade' the lower classes, only to unleash the power of mediocrity and get swallowed by it... An extremely fine and talented piece, wrapping a truly sad idea in a brilliantly satiric and elegant form. Symbolically enough, the movie itself marked the end of the Soviet movie traditions era before the Hollywood tsunami had knocked them over  for good, it seems, judging by most current Russian movies (most of them labeled 'blockbusters' in prerelease!!! trailers and posters:).<br /><br />Funnily, that 'govno' episode is in no contradiction to Efenstor's comment above re rude language of current generation... From what I've already said it could seem that this might be the movie that showed the way for this, but it was not. A mild word by current standards, it was way too rude back then, and just rude enough to show the true nature of all Sharikovs... BTW, re Efenstor's lament, it is sooo naive to juxtapose being intellectual and using rude lexicon, especially for Russian speakers, where a single cussword could have meanings that take sentences in translation! But I join in regret that ALL the meaning in today's teenager's talk may be expressed by cusswords. I feel that this is the bigger problem than their choice of the medium that's most efficient for the task:) Well, this movie and the book are great food for thought that might change them, or anyone who might have a luxury of watching it.",positive
"I had been long awaiting this movie ever since I saw the trailer, which made it look like a political drama, starring three of my favorite actors; Al Pacino, John Cusack, and Bridget Fonda. And even though it was directed by Harold Becker, who has done uneven work, he and Pacino did combine on SEA OF LOVE, which ranks among each of their best work. But interference on some level(for starters, several of the scenes in the original trailer don't appear in the movie) and changing of tone(subsequent trailers make it look like a thriller) make this, while watchable, nowhere near as it could have been.<br /><br />Which is too bad, because I really wanted to like this movie. There was great potential here to be a film about how government can still be worthwhile despite all the corruption, and to make a complex statement about that corruption, not the usual good guys vs. bad guys. And there is good acting here. Pacino and Cusack are both very good, and Danny Aiello gives one of the best performances of his career. But Fonda is wasted in her role, having nothing to do, and while there is merit in the central storyline, when it turns to a thriller, the movie loses its way, briefly recovers in the final scene between Cusack and Pacino, and then falls down completely in the end. I wish I could like this more, but no.",positive
"Simply put, Paul Bettany and Jennifer Connelly were remarkable. The movie is less about the raw science of Darwin's beliefs, and holds the focus very strongly on his relationship with his family, primarily his wife, Emma, and daughter, Annie.<br /><br />Toby Jones gives a wonderful turn as Thomas Huxley, the great defender of Darwin's beliefs, and the rest of the cast is up to the task of sharing screen time with Bettany and Connelly.<br /><br />But it is those two who carry the movie. Their real chemistry is apparent from beginning to end, but develops transcendence as Darwin grapples with his demons. The scene where Darwin relates the ending of the story of Jenny, the orangutan, to his dying daughter, Annie, is utterly gripping. The world premiere audience at the TIFF was spellbound. Bettany's performance will be recognized as one of the year's best in short order. Equally magnificent is Connelly's work playing the religious wife of a man who, in Huxley's words, ""killed God"".<br /><br />The film moves slowly through the entire spectrum of Darwin's grief, relishing every detail of Bettany and Connelly's acting.<br /><br />Brilliant.",positive
"Unfortunately, I've never seen the full version of this movie. I did see the 87-minute version twice, back in the 1950s. Even more floridly directed than is the norm with Julien Duvivier, this is a wonderfully out-of-the-ordinary piece, replete with sweeping tracking shots through, over and into Andrejew's magnificently atmospheric sets. Beautifully lit too by photographer André Thomas, Black Jack is nothing if not a connoisseur's delight. Reinforcing this imaginative visual style, is a script that allows a roster of our favorite actors, including Agnes Moorehead and Marcel Dalio, some brilliantly bizarre, full-blooded characterizations. George Sanders gives a polished performance, whilst an eccentric millionairess (who turns out to be a rival racketeer) is admirably played by Agnes Moorehead. Also realizing the most from her role, Patricia Roc. The film was made, on locations in Spain, in 1949.",positive
"I had a different experience with this movie - it never got charming, or delightful, or funny for me. one big clue that this was not your typical movie was that the label gave no indication of the Ianguage(s) spoken in the film. another was the lack of choices re subtitles.<br /><br />I found the lack of dialogue annoying, especially when accompanied by exaggerated facial expressions as it almost always was. The wildly inconsistent development of the feeble plot was puzzling. Were there characters, or only vague gestures? was there even a plot?<br /><br />on a separate matter, I'm getting prompted to correct the spelling of ""dialogue"", with the suggested substitute of ""dialogue"". maybe this movie in its entirety, including the IMDb portion, is designed to puzzle, or amaze, but I'm getting more irked than amused.",negative
"Well, I must say that this was one hell of a fun movie. Despite the fact that the dubbing was pretty cheesy, and there were some odd moments where the film seemed to turn dark blue for no apparent reason, I was not disappointed. The story was actually pretty interesting: the last member of the Poison Clan must track down the other five members and discover who among them is using their skills for evil, and who is using them for good. The catch being that during training, all of the clan were masked, and all have since returned to society in disguise and changed their names.<br /><br />The fights are a joy to watch, as each member of the Poison Clan has a different fighting style: toad (my favorite), snake, scorpion, lizard, and centipede. The fight scenes have the actors jumping all over the place, and thankfully the camera stays planted and uses a wide enough shot so you can clearly see all of the action.<br /><br />The one drawback to the movie is that the story tends to drag a bit in the first half up until the first fight sequence. But stick with it, and you won't be disappointed!",positive
"I began watching this movie with low expectations, as a matter of fact i only noticed it because it was an adaptation of a S.K. novel ( a novel i never read).<br /><br />I'm glad my expectations were low because the movie wasn't nothing close to good, but it manages to keep you interested. What really drags this story down is the work done by the director and the actors. The movie is overlong, hasn't no ""nice"" shots and no scares, the dialogs are dumb and the special effects are crap.<br /><br />The only things good are that, as i said, it keeps you interested ( i guess the book must be good) without using much horror cliches.<br /><br />My Vote 4/10.",negative
"Many have disparaged Never Say Never Again because it is not an official Bond movie. Nevertheless, it is manifest that the producers adhered to the fruitful Bond formula. Although the film does not have a pre-credit sequence, it is clear that the training exercise at the commencement of the film is meant to be the introductory scene. It would have been impossible for EON to stop the producers from including a pre-credit and title sequence, albeit without the gun-barrel introduction.<br /><br />Sean Connery is on fine form as the immortal secret agent and this film is certainly better than Dr No, Thunderball, You Only Live Twice and Diamonds Are Forever. Although, NSNA is meant to be a remake of Thunderball, it is a vast improvement. 007 spends more time on terra firma and a more diverse range of exotic locations are included in the film. <br /><br />There is some resplendent acting in this movie. Barbara Carrera is impeccable as the bizarre Fatima Blush. One of the best scenes in the film is the coup de grace between Bond and Fatima in Nice, which is preceded by a dynamic motorcycle chase through the city. Klaus Maria Brandauer plays the psychotic Largo and Max Von Sydow is free of the melodrama that other actors portraying Blofeld have indulged in.<br /><br />NSNA tends to centre on Connery rather than the character of Bond. At the commencement it is stated that Bond is ageing and has been out of action. This seems to refer to the 12 year hiatus in Connery's portrayal of Bond. Bond promises ""never again"" to work in the Secret Service; an allusion to Connery's portrayal of Bond. It appears that the producers were trying to hurt the official Bond franchise. <br /><br />Nevertheless, this film is definitely worth watching. This is the last time that Sean Connery played James Bond, but his performance convinced me that perhaps he should have never have said ""never again"".",positive
"Esther Williams gets her first post MGM starring role and gets off<br /><br />to a good start. This film is a well acted entertaining suspense<br /><br />with a mature theme that would be repeated a million times more<br /><br />in the future - innocent girl stalked creepy woman hater. Esther<br /><br />looks great and if she wanted to, probably could have gone on to<br /><br />do more and better films but according to her autobiography, <br /><br />pretty much gave up working for marriage. Either way she is so<br /><br />likable and engaging that its fun to see her in a totally different role<br /><br />outside of the 'swimming musical'. Universal was fabulous for<br /><br />making films with former MGM stars after that studio began<br /><br />dropping its biggest names as it began to slide down hill. Stars<br /><br />like Lana Turner, June Allyson and others got to make quality first<br /><br />rate films at Universal as they obviously still had drawing power at<br /><br />the box office. I wish Esther had made more but since she didnt, it<br /><br />makes this one all the more special.",positive
"This movie was a long build-up with no climax. People whom refer to the swordfight in the end as great must either be out of their minds, or have none. Way too often this movie got soft. I am not saying that soft movies are bad. But no matter how fond you are of sugar it should have no space on a T-bone steak. This movie was supposed to be about vengeance for crimes committed against a culture, but it ended up being a petty bar-brawl. And there was only one of them who actually knew what a sword was; Tim Roth's character (and yes, he plays him well). Rob Roy was a weak ""hero"" with no knowledge of how to use a sword, and the way he ""won"" was a disgrace. As a drama this movie had it's periods, but the best performance in it has to go the nature of Scotland. This is one tad breath short of being termed as ""soap"" in my book.",negative
"This film is by far the worst film I have ever seen in my life. A woman ""The EX"" pretends to be a number of people in order to gain access to her ex-husband. Killing people for no- reason in baths to achieve her goal. The women I don't think ever went to acting college. She just spends the whole film making stupid expressions, and she looks like she is trying her absolute hardest to avoid looking into the camera. Failing on most occasions. She makes friends with her Ex Husband's wife and son, she does this to use them against her husband. At first when you watch this film, you think that the ""Ex"" wants to kill her ex-husband, maybe because he has treated her in a bad way. But in fact the women is obsessed with the man and wants him back. The two of them used to enjoy rough entertainment (using whips of course). My advice to the general public is do not buy this film, do not rent this film and do not watch it like I did (at 1.15am on FOX)",negative
"First, let me make it clear that I'm a big fan of bad sci-fi, especially when it involves gigantic, city-stomping monsters. But this one is so fantastically lame that I can't even like it for being bad. They apparently didn't shave enough money off the budget by skimping on the props (the only prop we have to indicate the size of the alien girl is an oversized novelty pencil, available at Spencer's Gifts for about fifteen bucks), they also decided not to outlay for concept or plot. The monster DOES look okay, in my opinion, but it doesn't have enough interaction with the backgrounds, i.e. not enough destruction to suit most fans of the genre. The general rule of giant monster movies is: If you don't have a lot of fake-looking buildings to smash, then you'd better have another fake-looking monster to wrestle with. This movie has neither. I can't make my final complaint about the movie without giving away the ending, but suffice to say the origin of the monster, and the method found to get rid of it, just don't hold water. Not even as well as most of these movies. Skip it.",negative
"The delivery of some very humorous rude lines by Pierce Brosnan is alone worth the price of admission. He plays a kind of ""James Bond's psycho twin brother"", separated at birth, no doubt. As an intense hit-man, his character is very sexual but even better, very funny. Add the kind-hearted, uber-likable American ""guy next door', Greg Kinnear, to set up contrast. The myriad locations, vivid colors, and quick-witted humor provide great entertainment. Hope Davis is well cast as the ""gem of a wife"". But the focus of the film is on the two fellows, a new ""Odd Couple"", and that's the part that works very well. Have a great (probably R-rated) laugh, and look for the places where the story goes a little deeper.",positive
"Check out the two octogenarians who review Leatherheads. These guys are old-school Hollywood and a hit on YouTube. They always give an insightful and fun review. They have movie comparisons that are really interesting and they have a banter back and forth that is endlessly entertaining. They know movies, collectively they have been in the biz for practically a century. Lorenzo is a well-known screenwriter and Marcia is a famous producer. All of their insight on movies always leaves you with something to think about. See what they think about Clooney's latest...<br /><br />http://www.youtube.com/watch?v=2-W7evBEArs",negative
"Night Of The Demons is definitely one the definitive cheesy 80's demons horror flick in the same vein as the brilliant Evil Dead and Demons movies. This movie combines boozy sexually active teens and demons into one hell of a fun movie. A definite welcome addition after the 80's were overrun by slasher flicks, it was nice to see something a little different.<br /><br />The plot follows a group of teens who all meet up for a Halloween party at hull house which used to be funeral parlour, hosted by Angela. About 40-minutes of boozing and sexing eventually leads to a demon or demons finding their way out of the furnace and possessing each and every one of the teens. Add some snazzy make-up effects, lots of gore, and cool-looking demons and you've got yourself a sweet 80's cheese-fest that would be ranked as one of the best demon-related films in many horror fans' lists.<br /><br />Firstly I loved the setting for this movie, ""Hull House"" is really creepy and scary and the perfect setting for a horror movie and plus when the Demons emerge, that's when the action really kicks in and it becomes a night of terror and fear. This movie spawned 2 sequels, the first one in 1994 which was okay but nothing come pared to this and the third one titled Demon House was absolutely horrendous. This is one of those horrors that has definitely stood the test of time and remains a true gem of mine for many years to come.<br /><br />All in all a fun cheesy flick with Demons that's definitely worth checking out.",positive
"""Yagyu ichizoku no inbo"" (let's just say ""The Shogun's Samurai"") is somewhere between horrifically boring and mind-bogglingly painful to watch. As an historical epic, it could have had so many more chances to be a rich saga... but it's really no more than just another cheap '70s action flick with a based-on-real-events story and an eyepatch-sporting Sonny Chiba. Before this movie's halfway point, I was even tempted to commit seppuku! The music is like a thousand dogs in heat wailing in your ears to a tune composed by Ennio Morricone (that's not an insult towards Morricone). The use of zoom lens cinematography is more nauseating than fascinating. And in terms of action, it's really nothing more than a series of brutal attacks and oh-no-they-didn't shocks. What a terrible movie.",negative
!!!!! OF COURSE THERE'S SPOILERS !!!!! I'm sure this project started off as a screen writing workshop on avoiding clichés in horror movies: Female protagonist - Check Bad things happen to drug takers - Check Heorine knocks out villain - Check Heroine doesn't notice villain recovering unconsciousness - Check Frame the sequence so we see recovered villain creep up behind heroine - Check Unfortunately it seems someone has sent this cliché list to a film studio instead of using it for class . Dear oh dear if only London transport was as regular as the clichés turning up here . In fact there's so many clichés and seen it all before moments that no one actually thought about going into detail as to what the eponymous creep is or how long he's been killing people on the underground . I'm led to believe it's the result of some human experiment and perhaps it's not until that night he decided to take his revenge out on humanity but all this is so vague as to be meaningless Not to be totally negative I doubt very much if the producers thought they'd be making a film that was going to sweep the Oscars that year and there's always a market for horror movies . Likewise I doubt if it cost too much produce and had one eye on the DVD market rather than cinema distribution and I will state that it's slightly better than 1972's DEATH LINE which also featured a murderous cannibal hiding in the London underground . it's just that when you think all the clichés have been used up in this film another cliché comes along to raise its ugly head,negative
"If you delete the first twenty minutes or so of this film, you will be left with a fantastic comedy. As it is, I still found it to be a pretty good movie, which is no small feat considering the coma I was put in by the opening scenes. To put it mildly, this film has a dreary beginning that wasn't even remotely funny, or even upbeat. Once things get sillier, however, you are left with a comedy that still holds up well after more than three decades. Definitely worth checking out, especially if you're a younger fan of Lemmon and Matthau who wants to see their earlier work.",positive
"Here's another of these modern-day ultra-sleaze comedies in which dysfunctional families are supposedly hilarious. Know wonder people once asked, ""What ever happened to Pauly Shore?"" Well, Shore didn't disappear, but his career took a nose-dive, that's for sure. Movies like this one, didn't help.<br /><br />In ""Son-In-Law,"" Shore plays an incredibly-obnoxious character called ""Crawl,"" and yet he's the most likable of the family! His father is a profane idiot; his mother is totally incompetent, his young brother is a sex maniac and his college-age sister is a real snot.<br /><br />Watching an hour and a half of totally-unlikeable people was tough to do. I certainly wouldn't watch this again, or recommend it to anyone but die-hard Shore fans. Adam Sandler took Pauley's shtick and went a lot further with it.<br /><br />The following is an excerpt from the IMDb title page here under ""biography"" and it explains why I am not the only one who was disgusted with this movie.<br /><br />""........but his lunacy was dismissed as crude, dumb and, for the most part, unfunny. His film career quickly tanked. This downhill spiral was not helped by the failure of his failed Fox sitcom ""Pauly"" (1997) in 1997. Lambasted unmercifully by both critics and media alike, he was soon becoming a running joke and forced to lie low and ride out the storm....""",negative
"I had a feeling that after ""Submerged"", this one wouldn't be any better... I was right. He must be looking for champagne money, and not care about the final product... his voice gets repeatedly dubbed over by a stranger that sounds nothing like him; the editing is - well - just a grade above amateurish. It's nothing more than a B or C-grade movie with just enough money to hire a couple talented cameramen and an ""OK"" sound designer.<br /><br />Like the previous poster said, the problems seem to appear in post-production (...voice dubbing, etc.) Too bad, cause the plot's actually OK for a SG flick.<br /><br />I'll never rent another SG flick, unless he emails me asking for forgiveness.<br /><br />Too bad - I miss Kelly LeBrock...<br /><br />--jimbo",negative
"This movie was so bad If anyone out their who starred in the movie are reading this including the director,i HATE YOU! LOL,that blonde woman, who was running away screaming through the forest.At least CRY RATHER THAN SCREAM AND KEEP DOING THE DODGY HEAVY BREATHING!! and oh dear god, if it was the director who sorted out the cameras on this one, then go back to a normal job. No one wants to be watching some scared woman's chin throughout it.Damn, don't even THINK about renting/buying or even having a copy of this within 100 metre radius of your house since it can be harmful to,people who like good movies...When i got home, i thought id rented a pron movie by the acting and style of the camera.",negative
"We've just watched the last of the series shown on the SBS network and will miss our weekly dose of Danish Delight. My wife and I picked up the show after the Swedish show ""The Eagle"" finished and it seemed by comparison to be a very poor substitute for our then favourite show on TV. Week by week, however, the show grew on me, and whilst not as glossy as the Swedish show and definitely grittier in terms of their investigations of everyday crimes, it certainly provided a very satisfying weekly viewing meal indeed.<br /><br />Prior to these 2 shows I had not really been a fan of the cop genre and can't say I am now but the 2 Scandinavian shows really provided us with an insight into life in those northern Euopean countries through the eyes of their special policing units.",positive
"An unusually straight-faced actioner played by a cast and filmed by a director who obviously took the material seriously. Imperfect, as is to be expected from a film clearly shot on a tight budget, but the drama is involving-- it's one of those films that when it gets repeated ad nauseum on Cinemax 2 or More Max or whatever they call it, you end up watching 40 minute blocks when you're supposed to be going to work. Along W/ ""Deathstalker 2"", ""Chopping Mall"", and ""The Assault"", a reminder that Wynorski is a much more talented director than many of his fellow low-budget brethern, who has a real ability to pace a genre film, when he actually's interested in the material (i.e., don't bother watching any of his Shannon Tweed flicks with a 3 or a 4 after the title!) Actors who've had too little to do recently (Mancuso, Ford, even Gary Sandy for chrissakes) really put their all into some of their best roles in years -- as for Grieco, he has the right look, although his acting is a bit one-note -- it's clear his character is supposed to be self-destructing throughout the film, but Grieco doesn't quite convey it. I checked IMDB and I see the writer also wrote ""Sorority House Massacre 2"" & ""Dinosaur Island"" for the director -- both minor classics in their own rights, but obviously ""silly"" Roger Cormon-like Cinema -- this one's more like some of the better Jonathan Demme and Jonathan Kaplan B-pictures of the 70's -- giving you the exploitation element but offering involving drama at the same time -- a real step forward. Not ""Citizen Kane,"" and the comic final moments are a bit disruptive, but a well-written, character-driven above-average straight-to-video actioner. Small achievements like this should not be overlooked when they come along, which is rare enough (as I was reminded as I tried to sit through an Albert Pyun monstrosity called ""Heatseeker"" the other night -- this low-budget stuff isn't as easy as it looks -- but that's another story!)",positive
This movie is a mess. I'm surprised it even has a theatrical release. WIthout Robin Williams it would have gone straight to video. It is poorly written. It is poorly directed. It's worse offense is that it has taken an interesting topic and reduced it to a ridiculous and BORING thriller that has no thrills and no suspense and no inner or emotional logic.Especially after the first half hour the movie dovetails into a series of ridiculous set pieces that are so over the top that the audience I saw it with was laughing at it. Save your money. The trailer is totally misleading - it is not suspenseful and there are no thrills - in fact the movie's truly worst offense is that it is simply boring.,negative
"There's nothing quite like watching giant robots doing battle over a desert wasteland, and Robot Wars does deliver. Sure, the acting is lousy, the dialogue is sub-par, and the characters are one-dimensional, but it has giant robots! The special effects themselves are actually quite good for the period. They are certainly not as polished as today's standards, but it contains a minimum of computer graphics and instead uses miniatures, so it has aged fairly well. Its shortcomings are easily overlooked given the films short runtime, and it does have a certain tongue-in-cheek humour in parts that make it quite enjoyable. I would recommend this to any fan of giant robots or cheesy sci-fi who is looking for a lighthearted hour of distraction.",negative
